CustomerID,FavoriteCategory,Gender,AgeGroup,Region,Recency,Frequency,Monetary
CUST00032,Fashion,Male,26-35,Bandung,48,25,73935451
CUST00033,Electronics,Male,26-35,Bandung,60,20,51762083
CUST00034,Fashion,Female,>50,Denpasar,11,24,75682223
CUST00035,Home,Female,26-35,Denpasar,47,23,59180234
CUST00036,Beauty,Female,26-35,Yogyakarta,3,27,62905733
CUST00037,Sport,Male,18-25,Jakarta,156,24,65759176
CUST00038,Electronics,Male,18-25,Yogyakarta,65,27,78249934
CUST00039,Electronics,Female,18-25,Jakarta,11,23,61284817
CUST00040,Beauty,Male,18-25,Yogyakarta,6,30,81318668
CUST00041,Sport,Male,36-50,Surabaya,1,28,64916101
CUST00042,Beauty,Female,26-35,Surabaya,13,26,59543794
CUST00043,Beauty,Male,26-35,Medan,1,35,79886391
CUST00044,Fashion,Female,18-25,Yogyakarta,22,26,70800938
CUST00045,Electronics,Male,36-50,Denpasar,29,30,86266531
CUST00046,Beauty,Female,36-50,Bandung,4,30,83869610
CUST00047,Beauty,Male,18-25,Medan,1,24,54061616
CUST00048,Home,Female,36-50,Denpasar,0,33,90989461
CUST00049,Fashion,Female,26-35,Surabaya,20,28,68922944
CUST00050,Beauty,Male,18-25,Yogyakarta,6,24,66121702
CUST00051,Electronics,Female,26-35,Medan,13,22,60753589
CUST00052,Beauty,Female,26-35,Yogyakarta,7,24,60566897
CUST00053,Home,Female,18-25,Surabaya,66,29,81750830
CUST00054,Beauty,Female,>50,Medan,2,22,50593314
CUST00055,Electronics,Female,36-50,Surabaya,15,32,87874338
CUST00056,Beauty,Female,26-35,Jakarta,42,28,65907653
CUST00057,Electronics,Male,26-35,Surabaya,54,32,96571758
CUST00058,Sport,Male,26-35,Yogyakarta,0,24,70755640
CUST00059,Sport,Male,26-35,Bandung,8,18,49328531
CUST00060,Home,Male,26-35,Surabaya,33,23,61663082
CUST00061,Fashion,Male,18-25,Denpasar,6,26,58574195
CUST00062,Electronics,Male,26-35,Bandung,47,18,36976671
CUST00063,Electronics,Female,36-50,Jakarta,60,26,67295846
CUST00064,Sport,Male,26-35,Medan,28,27,55118526
CUST00065,Sport,Male,18-25,Medan,11,26,71407754
CUST00066,Fashion,Female,36-50,Bandung,8,23,59806654
CUST00067,Beauty,Male,18-25,Medan,15,22,57618454
CUST00068,Electronics,Female,18-25,Surabaya,37,28,68847112
CUST00069,Home,Male,18-25,Bandung,127,23,56450650
CUST00070,Fashion,Female,26-35,Yogyakarta,27,29,90192782
CUST00071,Beauty,Female,36-50,Surabaya,1,22,58870136
CUST00072,Electronics,Male,26-35,Surabaya,71,28,64371980
CUST00073,Fashion,Male,18-25,Surabaya,6,22,61546270
CUST00074,Beauty,Female,36-50,Yogyakarta,1,22,39751570
CUST00075,Beauty,Female,36-50,Jakarta,75,21,55042582
CUST00076,Electronics,Female,36-50,Denpasar,25,27,58007083
CUST00077,Electronics,Female,18-25,Medan,8,37,81062772
CUST00078,Home,Male,26-35,Bandung,30,27,77549643
CUST00079,Beauty,Male,>50,Jakarta,0,26,59262242
CUST00080,Beauty,Male,36-50,Bandung,5,29,70933285
CUST00081,Sport,Female,18-25,Medan,7,25,53476014
CUST00082,Home,Female,18-25,Yogyakarta,25,22,69972209
CUST00083,Home,Male,26-35,Surabaya,14,25,49743498
CUST00084,Home,Male,>50,Surabaya,25,21,54593534
CUST00085,Beauty,Male,26-35,Yogyakarta,27,26,60256408
CUST00086,Electronics,Male,26-35,Jakarta,5,23,51578313
CUST00087,Electronics,Female,18-25,Jakarta,38,23,53430513
CUST00088,Electronics,Female,26-35,Bandung,3,27,69839555
CUST00089,Fashion,Female,36-50,Yogyakarta,1,19,52198797
CUST00090,Home,Female,26-35,Jakarta,53,22,61717917
CUST00091,Sport,Male,36-50,Yogyakarta,9,27,69981772
CUST00092,Electronics,Female,>50,Medan,7,35,84898934
CUST00093,Sport,Female,18-25,Surabaya,17,18,38473176
CUST00094,Electronics,Female,26-35,Surabaya,88,25,74822963
CUST00095,Electronics,Female,18-25,Surabaya,110,20,53290419
CUST00096,Sport,Female,36-50,Yogyakarta,8,25,66069572
CUST00097,Home,Female,26-35,Yogyakarta,43,27,66183276
CUST00098,Electronics,Male,26-35,Bandung,0,30,79295822
CUST00099,Sport,Male,36-50,Surabaya,28,32,96568948
CUST00100,Sport,Male,26-35,Bandung,33,18,55523285
CUST00101,Beauty,Male,>50,Surabaya,6,29,67370024
CUST00102,Electronics,Female,26-35,Bandung,7,20,43406827
CUST00103,Fashion,Male,18-25,Bandung,2,31,95487939
CUST00104,Fashion,Female,26-35,Medan,16,31,70346648
CUST00105,Sport,Female,36-50,Bandung,24,26,67571919
CUST00106,Home,Male,26-35,Yogyakarta,3,29,78883813
CUST00107,Beauty,Male,36-50,Bandung,1,25,75712915
CUST00108,Home,Female,>50,Surabaya,20,19,55030803
CUST00109,Electronics,Male,18-25,Bandung,26,26,80645805
CUST00110,Beauty,Male,>50,Jakarta,17,24,59246590
CUST00111,Sport,Male,18-25,Denpasar,42,22,63898742
CUST00112,Electronics,Male,18-25,Surabaya,22,21,46677992
CUST00113,Fashion,Female,18-25,Jakarta,11,38,96135833
CUST00114,Fashion,Female,36-50,Surabaya,71,16,41722592
CUST00115,Home,Female,26-35,Yogyakarta,29,33,76504885
CUST00116,Sport,Female,18-25,Denpasar,11,28,71871806
CUST00117,Beauty,Female,26-35,Denpasar,15,28,65651009
CUST00118,Beauty,Male,26-35,Yogyakarta,26,26,66440328
CUST00119,Home,Female,18-25,Denpasar,14,32,75440239
CUST00120,Fashion,Female,36-50,Yogyakarta,15,19,42221282
CUST00121,Fashion,Female,36-50,Jakarta,5,33,94294438
CUST00122,Fashion,Female,26-35,Medan,5,39,89983359
CUST00123,Electronics,Male,>50,Surabaya,7,28,77267786
CUST00124,Home,Male,26-35,Yogyakarta,64,26,60794169
CUST00125,Fashion,Male,>50,Surabaya,75,19,50339413
CUST00126,Fashion,Male,26-35,Jakarta,55,22,48709570
CUST00127,Beauty,Female,26-35,Medan,1,27,83414683
CUST00128,Sport,Female,18-25,Jakarta,10,18,35970484
CUST00129,Home,Male,36-50,Denpasar,82,40,108417480
CUST00130,Sport,Female,26-35,Surabaya,7,21,58240591
CUST00131,Electronics,Male,18-25,Medan,21,33,82661034
CUST00132,Beauty,Male,18-25,Denpasar,2,30,71904724
CUST00133,Home,Male,26-35,Medan,57,29,68708279
CUST00134,Beauty,Male,26-35,Denpasar,23,18,47160938
CUST00135,Home,Female,36-50,Jakarta,23,37,101177962
CUST00136,Sport,Male,36-50,Yogyakarta,12,15,41172797
CUST00137,Fashion,Female,18-25,Surabaya,25,23,49567074
CUST00138,Fashion,Female,36-50,Bandung,4,29,66672230
CUST00139,Fashion,Male,18-25,Bandung,133,16,51026811
CUST00140,Sport,Female,36-50,Jakarta,18,35,85245297
CUST00141,Sport,Female,36-50,Surabaya,31,31,66404012
CUST00142,Fashion,Male,26-35,Surabaya,3,35,99708945
CUST00143,Sport,Female,36-50,Jakarta,9,30,86429392
CUST00144,Fashion,Male,26-35,Surabaya,42,24,68731787
CUST00145,Fashion,Male,26-35,Yogyakarta,18,34,86770452
CUST00146,Sport,Male,36-50,Jakarta,32,25,64943318
CUST00147,Fashion,Female,26-35,Yogyakarta,77,39,88433327
CUST00148,Electronics,Female,26-35,Surabaya,14,27,70031121
CUST00149,Beauty,Male,26-35,Jakarta,2,34,84406591
CUST00150,Fashion,Male,36-50,Surabaya,10,27,70269596
CUST00151,Beauty,Female,26-35,Jakarta,7,20,44217922
CUST00152,Beauty,Male,18-25,Surabaya,72,25,62922869
CUST00153,Beauty,Male,36-50,Yogyakarta,32,27,68769747
CUST00154,Fashion,Female,36-50,Yogyakarta,41,26,69891571
CUST00155,Home,Female,18-25,Surabaya,80,30,78604117
CUST00156,Home,Male,18-25,Jakarta,50,27,66039445
CUST00157,Sport,Female,18-25,Bandung,3,21,57068779
CUST00158,Electronics,Female,26-35,Yogyakarta,43,28,67648225
CUST00159,Fashion,Male,26-35,Yogyakarta,4,33,72283584
CUST00160,Electronics,Female,36-50,Denpasar,29,18,45958335
CUST00161,Beauty,Male,26-35,Bandung,13,25,54361549
CUST00162,Home,Female,26-35,Surabaya,9,27,71253136
CUST00163,Fashion,Female,26-35,Jakarta,22,22,43446375
CUST00164,Fashion,Female,36-50,Denpasar,12,21,51159663
CUST00165,Electronics,Male,26-35,Surabaya,49,27,54920123
CUST00166,Sport,Female,>50,Medan,23,25,64424588
CUST00167,Home,Male,26-35,Yogyakarta,4,22,62776855
CUST00168,Electronics,Male,18-25,Medan,4,33,102202213
CUST00169,Fashion,Male,26-35,Yogyakarta,9,22,52225303
CUST00170,Fashion,Female,26-35,Yogyakarta,2,32,78761138
CUST00171,Fashion,Female,26-35,Medan,7,32,92811759
CUST00172,Fashion,Male,18-25,Medan,139,19,42347150
CUST00173,Fashion,Female,18-25,Surabaya,11,26,56347985
CUST00174,Sport,Male,36-50,Denpasar,28,22,64840561
CUST00175,Home,Female,18-25,Denpasar,68,22,57383967
CUST00176,Sport,Male,36-50,Medan,6,32,88924863
CUST00177,Electronics,Female,18-25,Surabaya,38,18,56621857
CUST00178,Sport,Male,26-35,Denpasar,17,21,45621659
CUST00179,Fashion,Female,26-35,Surabaya,179,15,37313422
CUST00180,Electronics,Male,26-35,Surabaya,102,23,59871078
CUST00181,Beauty,Male,26-35,Yogyakarta,6,23,53875929
CUST00182,Fashion,Male,18-25,Denpasar,15,28,61959843
CUST00183,Beauty,Female,18-25,Denpasar,3,20,48879823
CUST00184,Electronics,Female,26-35,Yogyakarta,6,33,81427823
CUST00185,Fashion,Male,26-35,Medan,48,25,67506010
CUST00186,Home,Female,>50,Yogyakarta,4,37,111966522
CUST00187,Sport,Female,36-50,Denpasar,23,30,72970018
CUST00188,Electronics,Female,36-50,Denpasar,36,20,50171635
CUST00189,Electronics,Female,36-50,Medan,7,21,53562508
CUST00190,Home,Male,26-35,Yogyakarta,38,22,58488042
CUST00191,Electronics,Male,18-25,Jakarta,78,22,52816335
CUST00192,Sport,Female,>50,Jakarta,22,24,57487422
CUST00193,Sport,Female,26-35,Medan,83,15,37877288
CUST00194,Beauty,Female,26-35,Yogyakarta,12,20,55020004
CUST00195,Home,Male,18-25,Yogyakarta,11,25,48304865
CUST00196,Beauty,Male,26-35,Surabaya,104,25,65090827
CUST00197,Fashion,Female,26-35,Denpasar,81,23,55527240
CUST00198,Fashion,Female,36-50,Bandung,42,29,68938476
CUST00199,Electronics,Female,26-35,Medan,91,25,69781470
CUST00200,Electronics,Female,26-35,Bandung,6,24,65129749
CUST00201,Home,Female,>50,Bandung,19,24,59502515
CUST00202,Home,Male,18-25,Medan,0,29,68397872
CUST00203,Beauty,Male,26-35,Yogyakarta,11,22,66324717
CUST00204,Sport,Female,18-25,Medan,24,14,33980830
CUST00205,Home,Female,36-50,Bandung,5,25,58617317
CUST00206,Sport,Male,>50,Denpasar,53,24,54715235
CUST00207,Sport,Male,18-25,Denpasar,15,22,54005430
CUST00208,Beauty,Female,36-50,Denpasar,13,26,56694056
CUST00209,Sport,Male,18-25,Yogyakarta,33,24,55491586
CUST00210,Beauty,Male,>50,Jakarta,29,30,84482235
CUST00211,Beauty,Female,36-50,Medan,20,23,51536380
CUST00212,Beauty,Female,36-50,Denpasar,51,25,64862220
CUST00213,Beauty,Female,18-25,Medan,6,17,51160001
CUST00214,Beauty,Male,>50,Denpasar,69,19,37685827
CUST00215,Fashion,Female,36-50,Yogyakarta,52,23,55760958
CUST00216,Beauty,Male,26-35,Jakarta,29,17,43385475
CUST00217,Home,Male,36-50,Jakarta,6,31,68858057
CUST00218,Beauty,Female,18-25,Denpasar,8,21,49298244
CUST00219,Electronics,Female,36-50,Yogyakarta,19,35,93584395
CUST00220,Fashion,Female,18-25,Surabaya,16,30,69119602
CUST00221,Sport,Female,36-50,Medan,9,26,63707921
CUST00222,Sport,Female,26-35,Medan,25,21,63169006
CUST00223,Fashion,Male,18-25,Bandung,7,30,69189143
CUST00224,Home,Male,18-25,Yogyakarta,5,32,59241295
CUST00225,Electronics,Male,18-25,Bandung,3,30,78923238
CUST00226,Home,Male,26-35,Denpasar,16,27,69382699
CUST00227,Sport,Female,26-35,Bandung,47,27,71542576
CUST00228,Home,Male,26-35,Jakarta,22,24,51979423
CUST00229,Fashion,Female,18-25,Medan,90,25,55003650
CUST00230,Electronics,Female,18-25,Bandung,78,19,59296813
CUST00231,Beauty,Female,36-50,Jakarta,67,25,51495306
CUST00232,Sport,Female,18-25,Yogyakarta,14,24,70703428
CUST00233,Electronics,Female,>50,Bandung,8,25,61987080
CUST00234,Fashion,Female,36-50,Denpasar,3,20,44534002
CUST00235,Home,Male,26-35,Denpasar,1,16,41878132
CUST00236,Sport,Female,26-35,Denpasar,25,31,82087893
CUST00237,Fashion,Male,36-50,Medan,3,26,60021744
CUST00238,Beauty,Male,18-25,Bandung,11,29,71855636
CUST00239,Electronics,Female,18-25,Yogyakarta,138,19,52555788
CUST00240,Sport,Male,18-25,Bandung,79,15,44008918
CUST00241,Electronics,Female,36-50,Medan,8,32,85487764
CUST00242,Electronics,Female,18-25,Jakarta,20,27,62482897
CUST00243,Beauty,Female,26-35,Medan,26,27,60104387
CUST00244,Fashion,Male,>50,Denpasar,22,27,66319084
CUST00245,Home,Male,36-50,Jakarta,32,20,57305316
CUST00246,Beauty,Female,26-35,Denpasar,50,25,70121441
CUST00247,Fashion,Male,18-25,Surabaya,12,30,80462679
CUST00248,Beauty,Female,36-50,Medan,19,25,73593744
CUST00249,Fashion,Female,26-35,Medan,113,17,41751269
CUST00250,Electronics,Female,18-25,Yogyakarta,1,30,71608518
CUST00251,Sport,Male,18-25,Bandung,2,26,63196348
CUST00252,Electronics,Male,>50,Jakarta,34,29,86915329
CUST00253,Beauty,Female,26-35,Jakarta,7,28,74516959
CUST00254,Beauty,Male,36-50,Yogyakarta,19,31,85304900
CUST00255,Electronics,Male,36-50,Yogyakarta,10,28,58552200
CUST00256,Beauty,Female,26-35,Bandung,84,18,49283446
CUST00257,Fashion,Female,26-35,Denpasar,33,19,43018628
CUST00258,Beauty,Female,26-35,Bandung,3,21,57438847
CUST00259,Home,Female,26-35,Medan,1,27,63597046
CUST00260,Beauty,Male,26-35,Denpasar,2,28,64296543
CUST00261,Fashion,Female,36-50,Surabaya,66,31,98744430
CUST00262,Electronics,Female,26-35,Bandung,29,23,52477904
CUST00263,Fashion,Male,36-50,Yogyakarta,30,23,59166277
CUST00264,Beauty,Female,26-35,Denpasar,5,27,76409422
CUST00265,Sport,Female,26-35,Bandung,4,26,59845394
CUST00266,Electronics,Female,26-35,Jakarta,36,29,60806690
CUST00267,Electronics,Female,26-35,Surabaya,46,23,61404211
CUST00268,Beauty,Female,36-50,Medan,0,14,27711468
CUST00269,Sport,Male,18-25,Jakarta,34,22,65152322
CUST00270,Fashion,Male,26-35,Jakarta,33,25,65630838
CUST00271,Beauty,Female,18-25,Surabaya,32,21,44205999
CUST00272,Beauty,Female,26-35,Medan,7,23,53105605
CUST00273,Beauty,Female,26-35,Yogyakarta,9,19,36708068
CUST00274,Home,Female,26-35,Denpasar,15,33,79958343
CUST00275,Fashion,Female,>50,Medan,80,21,50433707
CUST00276,Fashion,Female,26-35,Bandung,11,21,58993766
CUST00277,Home,Female,36-50,Jakarta,38,27,70939995
CUST00278,Beauty,Female,26-35,Bandung,51,32,74831220
CUST00279,Sport,Female,26-35,Yogyakarta,0,17,45010203
CUST00280,Sport,Female,18-25,Bandung,45,19,54171327
CUST00281,Beauty,Female,18-25,Medan,47,18,50634221
CUST00282,Sport,Male,26-35,Bandung,53,20,40784198
CUST00283,Sport,Male,26-35,Yogyakarta,2,18,40263679
CUST00284,Electronics,Male,18-25,Yogyakarta,45,27,69328360
CUST00285,Beauty,Female,18-25,Yogyakarta,42,30,72216206
CUST00286,Electronics,Male,18-25,Medan,49,23,54600671
CUST00287,Home,Female,>50,Yogyakarta,6,26,76652803
CUST00288,Sport,Female,26-35,Jakarta,12,19,51098384
CUST00289,Beauty,Male,26-35,Yogyakarta,27,19,46205607
CUST00290,Electronics,Female,18-25,Bandung,13,17,42347306
CUST00291,Sport,Male,26-35,Denpasar,20,25,52406051
CUST00292,Beauty,Male,18-25,Bandung,7,27,58872967
CUST00293,Home,Female,18-25,Denpasar,18,23,65491093
CUST00294,Beauty,Male,26-35,Bandung,37,29,71348842
CUST00295,Beauty,Male,18-25,Medan,68,30,85580285
CUST00296,Fashion,Female,18-25,Bandung,12,19,46036915
CUST00297,Beauty,Female,18-25,Medan,52,31,84740712
CUST00298,Beauty,Male,18-25,Medan,79,19,37329465
CUST00299,Beauty,Female,18-25,Yogyakarta,1,24,59065701
CUST00300,Sport,Male,26-35,Jakarta,28,28,67414338
CUST00301,Home,Male,36-50,Denpasar,16,24,52135614
CUST00302,Fashion,Female,26-35,Yogyakarta,10,22,54984415
CUST00303,Fashion,Female,26-35,Yogyakarta,63,24,65563005
CUST00304,Electronics,Female,18-25,Medan,63,24,62973937
CUST00305,Sport,Female,>50,Medan,6,17,42481062
CUST00306,Beauty,Female,26-35,Denpasar,0,26,65617452
CUST00307,Beauty,Female,18-25,Bandung,7,21,51823983
CUST00308,Electronics,Male,26-35,Bandung,14,25,67442339
CUST00309,Home,Female,18-25,Yogyakarta,18,25,67736221
CUST00310,Home,Male,26-35,Surabaya,14,34,78854546
CUST00311,Beauty,Male,26-35,Surabaya,21,23,46175300
CUST00312,Beauty,Male,36-50,Bandung,35,23,75789963
CUST00313,Home,Male,26-35,Surabaya,15,26,68159243
CUST00314,Fashion,Female,36-50,Bandung,14,28,62599869
CUST00315,Sport,Female,>50,Medan,17,13,28285723
CUST00316,Fashion,Female,18-25,Yogyakarta,48,18,52766217
CUST00317,Beauty,Male,18-25,Jakarta,41,17,49481936
CUST00318,Home,Male,26-35,Yogyakarta,3,20,49889368
CUST00319,Electronics,Male,26-35,Bandung,37,17,46022526
CUST00320,Fashion,Male,26-35,Bandung,28,29,77535842
CUST00321,Beauty,Female,>50,Yogyakarta,12,25,58242671
CUST00322,Electronics,Female,36-50,Denpasar,10,29,72798335
CUST00323,Home,Female,26-35,Bandung,69,32,66566525
CUST00324,Fashion,Male,26-35,Surabaya,14,29,78396124
CUST00325,Sport,Female,36-50,Surabaya,15,21,51007273
CUST00326,Electronics,Female,>50,Bandung,2,22,59718971
CUST00327,Electronics,Female,36-50,Bandung,5,29,68277157
CUST00328,Sport,Female,18-25,Denpasar,13,26,62016998
CUST00329,Sport,Male,26-35,Surabaya,1,30,73462420
CUST00330,Beauty,Male,18-25,Bandung,77,22,67915074
CUST00331,Home,Male,18-25,Bandung,12,21,48577055
CUST00332,Electronics,Female,18-25,Denpasar,6,21,40740193
CUST00333,Sport,Male,26-35,Denpasar,5,25,59187748
CUST00334,Beauty,Male,26-35,Yogyakarta,24,21,56842718
CUST00335,Fashion,Male,18-25,Denpasar,5,25,64947701
CUST00336,Electronics,Male,26-35,Jakarta,56,22,44801681
CUST00337,Beauty,Female,26-35,Surabaya,0,20,44507247
CUST00338,Home,Female,26-35,Yogyakarta,28,26,65542675
CUST00339,Beauty,Female,18-25,Jakarta,26,26,68074145
CUST00340,Fashion,Male,26-35,Bandung,50,23,69456669
CUST00341,Sport,Female,36-50,Bandung,1,23,54228109
CUST00342,Beauty,Female,18-25,Yogyakarta,32,27,69333189
CUST00343,Beauty,Male,18-25,Denpasar,48,26,85788330
CUST00344,Fashion,Male,26-35,Bandung,37,21,53427255
CUST00345,Beauty,Male,>50,Medan,14,21,56639374
CUST00346,Beauty,Female,26-35,Yogyakarta,15,25,65935336
CUST00347,Electronics,Female,26-35,Jakarta,4,32,80675758
CUST00348,Beauty,Male,26-35,Yogyakarta,12,22,56369811
CUST00349,Fashion,Male,26-35,Surabaya,22,27,64050745
CUST00350,Home,Female,18-25,Denpasar,47,23,61527997
CUST00351,Electronics,Female,26-35,Denpasar,38,26,63373607
CUST00352,Beauty,Female,>50,Yogyakarta,47,22,60909136
CUST00353,Beauty,Female,26-35,Bandung,40,22,45202544
CUST00354,Beauty,Male,36-50,Bandung,12,22,55480795
CUST00355,Electronics,Male,36-50,Medan,19,27,65451705
CUST00356,Fashion,Female,18-25,Medan,38,21,64838759
CUST00357,Beauty,Male,>50,Denpasar,4,16,46015968
CUST00358,Beauty,Female,18-25,Medan,2,34,69781922
CUST00359,Beauty,Female,26-35,Jakarta,4,20,64269261
CUST00360,Beauty,Female,18-25,Medan,25,27,74349670
CUST00361,Electronics,Male,18-25,Jakarta,80,23,53533449
CUST00362,Home,Female,26-35,Medan,30,32,84581378
CUST00363,Electronics,Female,18-25,Denpasar,11,36,93089104
CUST00364,Beauty,Female,26-35,Denpasar,7,28,72266670
CUST00365,Beauty,Female,26-35,Jakarta,8,23,57378311
CUST00366,Home,Male,18-25,Yogyakarta,3,26,67535703
CUST00367,Electronics,Female,18-25,Denpasar,36,20,50412640
CUST00368,Electronics,Female,26-35,Yogyakarta,57,15,38066970
CUST00369,Beauty,Male,26-35,Bandung,32,27,76032951
CUST00370,Beauty,Male,36-50,Jakarta,48,23,65956404
CUST00371,Fashion,Male,26-35,Denpasar,23,31,73091712
CUST00372,Beauty,Male,36-50,Surabaya,19,19,39525739
CUST00373,Home,Male,26-35,Bandung,37,29,64293283
CUST00374,Electronics,Female,26-35,Yogyakarta,5,29,64699574
CUST00375,Electronics,Male,26-35,Denpasar,60,24,56619189
CUST00376,Fashion,Male,18-25,Jakarta,26,22,52164562
CUST00377,Beauty,Female,26-35,Medan,30,22,62672948
CUST00378,Electronics,Male,36-50,Surabaya,28,28,74002620
CUST00379,Electronics,Female,26-35,Yogyakarta,7,35,85098763
CUST00380,Fashion,Male,36-50,Bandung,51,27,51636762
CUST00381,Sport,Male,36-50,Jakarta,51,28,81350225
CUST00382,Sport,Female,36-50,Surabaya,76,20,49117896
CUST00383,Home,Female,>50,Jakarta,39,25,69514051
CUST00384,Sport,Female,26-35,Denpasar,14,28,75758348
CUST00385,Electronics,Female,26-35,Medan,42,25,60265896
CUST00386,Sport,Female,26-35,Bandung,8,26,64570057
CUST00387,Electronics,Male,26-35,Jakarta,49,24,76577881
CUST00388,Electronics,Male,26-35,Yogyakarta,10,32,63665009
CUST00389,Beauty,Female,36-50,Denpasar,24,19,47295760
CUST00390,Fashion,Female,26-35,Denpasar,22,28,65581137
CUST00391,Fashion,Female,26-35,Bandung,1,21,66430006
CUST00392,Electronics,Male,18-25,Denpasar,11,22,51760337
CUST00393,Fashion,Male,26-35,Yogyakarta,0,26,74361670
CUST00394,Beauty,Female,18-25,Jakarta,31,20,49597239
CUST00395,Electronics,Male,36-50,Bandung,38,26,52253975
CUST00396,Beauty,Female,26-35,Denpasar,19,23,61733241
CUST00397,Home,Female,18-25,Denpasar,11,28,69394834
CUST00398,Fashion,Male,18-25,Yogyakarta,18,20,51135748
CUST00399,Electronics,Female,26-35,Medan,40,30,72068398
CUST00400,Fashion,Female,26-35,Medan,32,35,72634286
CUST00401,Home,Male,26-35,Denpasar,51,31,84859888
CUST00402,Fashion,Female,18-25,Jakarta,10,29,88093129
CUST00403,Electronics,Female,26-35,Bandung,10,32,68620396
CUST00404,Beauty,Female,26-35,Denpasar,15,26,71232971
CUST00405,Electronics,Male,26-35,Surabaya,26,34,95227653
CUST00406,Home,Female,26-35,Bandung,46,30,84156156
CUST00407,Home,Male,26-35,Medan,11,25,65849720
CUST00408,Beauty,Male,18-25,Denpasar,1,23,56936542
CUST00409,Sport,Female,>50,Yogyakarta,16,24,58489631
CUST00410,Electronics,Male,26-35,Surabaya,2,26,54951497
CUST00411,Fashion,Male,26-35,Denpasar,115,15,31992605
CUST00412,Electronics,Female,18-25,Jakarta,14,26,69295988
CUST00413,Fashion,Female,26-35,Surabaya,36,28,67208189
CUST00414,Home,Female,18-25,Denpasar,6,31,78923912
CUST00415,Beauty,Female,26-35,Jakarta,25,23,57297866
CUST00416,Electronics,Male,>50,Surabaya,14,25,64041171
CUST00417,Electronics,Male,26-35,Jakarta,24,25,65702789
CUST00418,Fashion,Male,18-25,Jakarta,11,30,84066299
CUST00419,Fashion,Female,18-25,Surabaya,32,35,94795511
CUST00420,Fashion,Female,26-35,Surabaya,28,27,66915495
CUST00421,Fashion,Female,18-25,Jakarta,17,25,51361069
CUST00422,Sport,Female,18-25,Medan,34,29,66841540
CUST00423,Electronics,Male,36-50,Surabaya,18,27,70900049
CUST00424,Home,Female,26-35,Denpasar,1,26,56768662
CUST00425,Electronics,Male,18-25,Bandung,6,34,93905434
CUST00426,Fashion,Female,>50,Yogyakarta,8,22,57995863
CUST00427,Electronics,Male,18-25,Jakarta,10,25,66320653
CUST00428,Beauty,Female,>50,Jakarta,35,11,27244818
CUST00429,Home,Male,26-35,Yogyakarta,6,16,37464851
CUST00430,Home,Male,36-50,Medan,59,28,74026445
CUST00431,Sport,Male,26-35,Yogyakarta,0,19,49310184
CUST00432,Beauty,Female,36-50,Surabaya,11,20,46415968
CUST00433,Electronics,Female,>50,Yogyakarta,40,18,41446871
CUST00434,Sport,Male,18-25,Jakarta,14,25,64827656
CUST00435,Fashion,Male,>50,Yogyakarta,14,25,71848918
CUST00436,Beauty,Female,26-35,Bandung,50,38,98658175
CUST00437,Electronics,Male,26-35,Denpasar,81,26,73906765
CUST00438,Fashion,Female,26-35,Surabaya,48,24,68421676
CUST00439,Sport,Female,26-35,Yogyakarta,0,26,57793394
CUST00440,Beauty,Male,18-25,Jakarta,13,24,55192310
CUST00441,Home,Male,26-35,Denpasar,20,34,85740023
CUST00442,Electronics,Female,26-35,Surabaya,0,24,47635023
CUST00443,Beauty,Male,36-50,Jakarta,3,32,69043347
