CustomerID,FavoriteCategory,Gender,AgeGroup,Region,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST00032,Fashion,Male,26-35,Bandung,48,25,73935451,1,2,4,124,At Risk Customer
CUST00033,Electronics,Male,26-35,Bandung,60,20,51762083,1,1,1,111,At Risk Customer
CUST00034,Fashion,Female,>50,Denpasar,11,24,75682223,3,2,4,324,Potential Customer
CUST00035,Home,Female,26-35,Denpasar,47,23,59180234,1,2,2,122,At Risk Customer
CUST00036,Beauty,Female,26-35,Yogyakarta,3,27,62905733,4,3,3,433,Loyal Customer
CUST00037,Sport,Male,18-25,Jakarta,156,24,65759176,1,2,3,123,At Risk Customer
CUST00038,Electronics,Male,18-25,Yogyakarta,65,27,78249934,1,3,4,134,At Risk Customer
CUST00039,Electronics,Female,18-25,Jakarta,11,23,61284817,3,2,2,322,Potential Customer
CUST00040,Beauty,Male,18-25,Yogyakarta,6,30,81318668,4,4,4,444,Loyal Customer
CUST00041,Sport,Male,36-50,Surabaya,1,28,64916101,4,3,3,433,Loyal Customer
CUST00042,Beauty,Female,26-35,Surabaya,13,26,59543794,3,3,2,332,Potential Customer
CUST00043,Beauty,Male,26-35,Medan,1,35,79886391,4,4,4,444,Loyal Customer
CUST00044,Fashion,Female,18-25,Yogyakarta,22,26,70800938,2,3,3,233,Potential Customer
CUST00045,Electronics,Male,36-50,Denpasar,29,30,86266531,2,4,4,244,Potential Customer
CUST00046,Beauty,Female,36-50,Bandung,4,30,83869610,4,4,4,444,Loyal Customer
CUST00047,Beauty,Male,18-25,Medan,1,24,54061616,4,2,2,422,Potential Customer
CUST00048,Home,Female,36-50,Denpasar,0,33,90989461,4,4,4,444,Loyal Customer
CUST00049,Fashion,Female,26-35,Surabaya,20,28,68922944,2,3,3,233,Potential Customer
CUST00050,Beauty,Male,18-25,Yogyakarta,6,24,66121702,4,2,3,423,Potential Customer
CUST00051,Electronics,Female,26-35,Medan,13,22,60753589,3,2,2,322,Potential Customer
CUST00052,Beauty,Female,26-35,Yogyakarta,7,24,60566897,4,2,2,422,Potential Customer
CUST00053,Home,Female,18-25,Surabaya,66,29,81750830,1,4,4,144,At Risk Customer
CUST00054,Beauty,Female,>50,Medan,2,22,50593314,4,2,1,421,Potential Customer
CUST00055,Electronics,Female,36-50,Surabaya,15,32,87874338,3,4,4,344,Loyal Customer
CUST00056,Beauty,Female,26-35,Jakarta,42,28,65907653,1,3,3,133,At Risk Customer
CUST00057,Electronics,Male,26-35,Surabaya,54,32,96571758,1,4,4,144,At Risk Customer
CUST00058,Sport,Male,26-35,Yogyakarta,0,24,70755640,4,2,3,423,Potential Customer
CUST00059,Sport,Male,26-35,Bandung,8,18,49328531,4,1,1,411,New Customer
CUST00060,Home,Male,26-35,Surabaya,33,23,61663082,2,2,2,222,Potential Customer
CUST00061,Fashion,Male,18-25,Denpasar,6,26,58574195,4,3,2,432,Potential Customer
CUST00062,Electronics,Male,26-35,Bandung,47,18,36976671,1,1,1,111,At Risk Customer
CUST00063,Electronics,Female,36-50,Jakarta,60,26,67295846,1,3,3,133,At Risk Customer
CUST00064,Sport,Male,26-35,Medan,28,27,55118526,2,3,2,232,Potential Customer
CUST00065,Sport,Male,18-25,Medan,11,26,71407754,3,3,3,333,Loyal Customer
CUST00066,Fashion,Female,36-50,Bandung,8,23,59806654,4,2,2,422,Potential Customer
CUST00067,Beauty,Male,18-25,Medan,15,22,57618454,3,2,2,322,Potential Customer
CUST00068,Electronics,Female,18-25,Surabaya,37,28,68847112,2,3,3,233,Potential Customer
CUST00069,Home,Male,18-25,Bandung,127,23,56450650,1,2,2,122,At Risk Customer
CUST00070,Fashion,Female,26-35,Yogyakarta,27,29,90192782,2,4,4,244,Potential Customer
CUST00071,Beauty,Female,36-50,Surabaya,1,22,58870136,4,2,2,422,Potential Customer
CUST00072,Electronics,Male,26-35,Surabaya,71,28,64371980,1,3,3,133,At Risk Customer
CUST00073,Fashion,Male,18-25,Surabaya,6,22,61546270,4,2,2,422,Potential Customer
CUST00074,Beauty,Female,36-50,Yogyakarta,1,22,39751570,4,2,1,421,Potential Customer
CUST00075,Beauty,Female,36-50,Jakarta,75,21,55042582,1,1,2,112,At Risk Customer
CUST00076,Electronics,Female,36-50,Denpasar,25,27,58007083,2,3,2,232,Potential Customer
CUST00077,Electronics,Female,18-25,Medan,8,37,81062772,4,4,4,444,Loyal Customer
CUST00078,Home,Male,26-35,Bandung,30,27,77549643,2,3,4,234,Potential Customer
CUST00079,Beauty,Male,>50,Jakarta,0,26,59262242,4,3,2,432,Potential Customer
CUST00080,Beauty,Male,36-50,Bandung,5,29,70933285,4,4,3,443,Loyal Customer
CUST00081,Sport,Female,18-25,Medan,7,25,53476014,4,2,2,422,Potential Customer
CUST00082,Home,Female,18-25,Yogyakarta,25,22,69972209,2,2,3,223,Potential Customer
CUST00083,Home,Male,26-35,Surabaya,14,25,49743498,3,2,1,321,Potential Customer
CUST00084,Home,Male,>50,Surabaya,25,21,54593534,2,1,2,212,New Customer
CUST00085,Beauty,Male,26-35,Yogyakarta,27,26,60256408,2,3,2,232,Potential Customer
CUST00086,Electronics,Male,26-35,Jakarta,5,23,51578313,4,2,1,421,Potential Customer
CUST00087,Electronics,Female,18-25,Jakarta,38,23,53430513,2,2,2,222,Potential Customer
CUST00088,Electronics,Female,26-35,Bandung,3,27,69839555,4,3,3,433,Loyal Customer
CUST00089,Fashion,Female,36-50,Yogyakarta,1,19,52198797,4,1,1,411,New Customer
CUST00090,Home,Female,26-35,Jakarta,53,22,61717917,1,2,2,122,At Risk Customer
CUST00091,Sport,Male,36-50,Yogyakarta,9,27,69981772,3,3,3,333,Loyal Customer
CUST00092,Electronics,Female,>50,Medan,7,35,84898934,4,4,4,444,Loyal Customer
CUST00093,Sport,Female,18-25,Surabaya,17,18,38473176,3,1,1,311,New Customer
CUST00094,Electronics,Female,26-35,Surabaya,88,25,74822963,1,2,4,124,At Risk Customer
CUST00095,Electronics,Female,18-25,Surabaya,110,20,53290419,1,1,2,112,At Risk Customer
CUST00096,Sport,Female,36-50,Yogyakarta,8,25,66069572,4,2,3,423,Potential Customer
CUST00097,Home,Female,26-35,Yogyakarta,43,27,66183276,1,3,3,133,At Risk Customer
CUST00098,Electronics,Male,26-35,Bandung,0,30,79295822,4,4,4,444,Loyal Customer
CUST00099,Sport,Male,36-50,Surabaya,28,32,96568948,2,4,4,244,Potential Customer
CUST00100,Sport,Male,26-35,Bandung,33,18,55523285,2,1,2,212,New Customer
CUST00101,Beauty,Male,>50,Surabaya,6,29,67370024,4,4,3,443,Loyal Customer
CUST00102,Electronics,Female,26-35,Bandung,7,20,43406827,4,1,1,411,New Customer
CUST00103,Fashion,Male,18-25,Bandung,2,31,95487939,4,4,4,444,Loyal Customer
CUST00104,Fashion,Female,26-35,Medan,16,31,70346648,3,4,3,343,Loyal Customer
CUST00105,Sport,Female,36-50,Bandung,24,26,67571919,2,3,3,233,Potential Customer
CUST00106,Home,Male,26-35,Yogyakarta,3,29,78883813,4,4,4,444,Loyal Customer
CUST00107,Beauty,Male,36-50,Bandung,1,25,75712915,4,2,4,424,Potential Customer
CUST00108,Home,Female,>50,Surabaya,20,19,55030803,2,1,2,212,New Customer
CUST00109,Electronics,Male,18-25,Bandung,26,26,80645805,2,3,4,234,Potential Customer
CUST00110,Beauty,Male,>50,Jakarta,17,24,59246590,3,2,2,322,Potential Customer
CUST00111,Sport,Male,18-25,Denpasar,42,22,63898742,1,2,3,123,At Risk Customer
CUST00112,Electronics,Male,18-25,Surabaya,22,21,46677992,2,1,1,211,New Customer
CUST00113,Fashion,Female,18-25,Jakarta,11,38,96135833,3,4,4,344,Loyal Customer
CUST00114,Fashion,Female,36-50,Surabaya,71,16,41722592,1,1,1,111,At Risk Customer
CUST00115,Home,Female,26-35,Yogyakarta,29,33,76504885,2,4,4,244,Potential Customer
CUST00116,Sport,Female,18-25,Denpasar,11,28,71871806,3,3,3,333,Loyal Customer
CUST00117,Beauty,Female,26-35,Denpasar,15,28,65651009,3,3,3,333,Loyal Customer
CUST00118,Beauty,Male,26-35,Yogyakarta,26,26,66440328,2,3,3,233,Potential Customer
CUST00119,Home,Female,18-25,Denpasar,14,32,75440239,3,4,4,344,Loyal Customer
CUST00120,Fashion,Female,36-50,Yogyakarta,15,19,42221282,3,1,1,311,New Customer
CUST00121,Fashion,Female,36-50,Jakarta,5,33,94294438,4,4,4,444,Loyal Customer
CUST00122,Fashion,Female,26-35,Medan,5,39,89983359,4,4,4,444,Loyal Customer
CUST00123,Electronics,Male,>50,Surabaya,7,28,77267786,4,3,4,434,Loyal Customer
CUST00124,Home,Male,26-35,Yogyakarta,64,26,60794169,1,3,2,132,At Risk Customer
CUST00125,Fashion,Male,>50,Surabaya,75,19,50339413,1,1,1,111,At Risk Customer
CUST00126,Fashion,Male,26-35,Jakarta,55,22,48709570,1,2,1,121,At Risk Customer
CUST00127,Beauty,Female,26-35,Medan,1,27,83414683,4,3,4,434,Loyal Customer
CUST00128,Sport,Female,18-25,Jakarta,10,18,35970484,3,1,1,311,New Customer
CUST00129,Home,Male,36-50,Denpasar,82,40,108417480,1,4,4,144,At Risk Customer
CUST00130,Sport,Female,26-35,Surabaya,7,21,58240591,4,1,2,412,New Customer
CUST00131,Electronics,Male,18-25,Medan,21,33,82661034,2,4,4,244,Potential Customer
CUST00132,Beauty,Male,18-25,Denpasar,2,30,71904724,4,4,3,443,Loyal Customer
CUST00133,Home,Male,26-35,Medan,57,29,68708279,1,4,3,143,At Risk Customer
CUST00134,Beauty,Male,26-35,Denpasar,23,18,47160938,2,1,1,211,New Customer
CUST00135,Home,Female,36-50,Jakarta,23,37,101177962,2,4,4,244,Potential Customer
CUST00136,Sport,Male,36-50,Yogyakarta,12,15,41172797,3,1,1,311,New Customer
CUST00137,Fashion,Female,18-25,Surabaya,25,23,49567074,2,2,1,221,Potential Customer
CUST00138,Fashion,Female,36-50,Bandung,4,29,66672230,4,4,3,443,Loyal Customer
CUST00139,Fashion,Male,18-25,Bandung,133,16,51026811,1,1,1,111,At Risk Customer
CUST00140,Sport,Female,36-50,Jakarta,18,35,85245297,3,4,4,344,Loyal Customer
CUST00141,Sport,Female,36-50,Surabaya,31,31,66404012,2,4,3,243,Potential Customer
CUST00142,Fashion,Male,26-35,Surabaya,3,35,99708945,4,4,4,444,Loyal Customer
CUST00143,Sport,Female,36-50,Jakarta,9,30,86429392,3,4,4,344,Loyal Customer
CUST00144,Fashion,Male,26-35,Surabaya,42,24,68731787,1,2,3,123,At Risk Customer
CUST00145,Fashion,Male,26-35,Yogyakarta,18,34,86770452,3,4,4,344,Loyal Customer
CUST00146,Sport,Male,36-50,Jakarta,32,25,64943318,2,2,3,223,Potential Customer
CUST00147,Fashion,Female,26-35,Yogyakarta,77,39,88433327,1,4,4,144,At Risk Customer
CUST00148,Electronics,Female,26-35,Surabaya,14,27,70031121,3,3,3,333,Loyal Customer
CUST00149,Beauty,Male,26-35,Jakarta,2,34,84406591,4,4,4,444,Loyal Customer
CUST00150,Fashion,Male,36-50,Surabaya,10,27,70269596,3,3,3,333,Loyal Customer
CUST00151,Beauty,Female,26-35,Jakarta,7,20,44217922,4,1,1,411,New Customer
CUST00152,Beauty,Male,18-25,Surabaya,72,25,62922869,1,2,3,123,At Risk Customer
CUST00153,Beauty,Male,36-50,Yogyakarta,32,27,68769747,2,3,3,233,Potential Customer
CUST00154,Fashion,Female,36-50,Yogyakarta,41,26,69891571,2,3,3,233,Potential Customer
CUST00155,Home,Female,18-25,Surabaya,80,30,78604117,1,4,4,144,At Risk Customer
CUST00156,Home,Male,18-25,Jakarta,50,27,66039445,1,3,3,133,At Risk Customer
CUST00157,Sport,Female,18-25,Bandung,3,21,57068779,4,1,2,412,New Customer
CUST00158,Electronics,Female,26-35,Yogyakarta,43,28,67648225,1,3,3,133,At Risk Customer
CUST00159,Fashion,Male,26-35,Yogyakarta,4,33,72283584,4,4,3,443,Loyal Customer
CUST00160,Electronics,Female,36-50,Denpasar,29,18,45958335,2,1,1,211,New Customer
CUST00161,Beauty,Male,26-35,Bandung,13,25,54361549,3,2,2,322,Potential Customer
CUST00162,Home,Female,26-35,Surabaya,9,27,71253136,3,3,3,333,Loyal Customer
CUST00163,Fashion,Female,26-35,Jakarta,22,22,43446375,2,2,1,221,Potential Customer
CUST00164,Fashion,Female,36-50,Denpasar,12,21,51159663,3,1,1,311,New Customer
CUST00165,Electronics,Male,26-35,Surabaya,49,27,54920123,1,3,2,132,At Risk Customer
CUST00166,Sport,Female,>50,Medan,23,25,64424588,2,2,3,223,Potential Customer
CUST00167,Home,Male,26-35,Yogyakarta,4,22,62776855,4,2,3,423,Potential Customer
CUST00168,Electronics,Male,18-25,Medan,4,33,102202213,4,4,4,444,Loyal Customer
CUST00169,Fashion,Male,26-35,Yogyakarta,9,22,52225303,3,2,1,321,Potential Customer
CUST00170,Fashion,Female,26-35,Yogyakarta,2,32,78761138,4,4,4,444,Loyal Customer
CUST00171,Fashion,Female,26-35,Medan,7,32,92811759,4,4,4,444,Loyal Customer
CUST00172,Fashion,Male,18-25,Medan,139,19,42347150,1,1,1,111,At Risk Customer
CUST00173,Fashion,Female,18-25,Surabaya,11,26,56347985,3,3,2,332,Potential Customer
CUST00174,Sport,Male,36-50,Denpasar,28,22,64840561,2,2,3,223,Potential Customer
CUST00175,Home,Female,18-25,Denpasar,68,22,57383967,1,2,2,122,At Risk Customer
CUST00176,Sport,Male,36-50,Medan,6,32,88924863,4,4,4,444,Loyal Customer
CUST00177,Electronics,Female,18-25,Surabaya,38,18,56621857,2,1,2,212,New Customer
CUST00178,Sport,Male,26-35,Denpasar,17,21,45621659,3,1,1,311,New Customer
CUST00179,Fashion,Female,26-35,Surabaya,179,15,37313422,1,1,1,111,At Risk Customer
CUST00180,Electronics,Male,26-35,Surabaya,102,23,59871078,1,2,2,122,At Risk Customer
CUST00181,Beauty,Male,26-35,Yogyakarta,6,23,53875929,4,2,2,422,Potential Customer
CUST00182,Fashion,Male,18-25,Denpasar,15,28,61959843,3,3,2,332,Potential Customer
CUST00183,Beauty,Female,18-25,Denpasar,3,20,48879823,4,1,1,411,New Customer
CUST00184,Electronics,Female,26-35,Yogyakarta,6,33,81427823,4,4,4,444,Loyal Customer
CUST00185,Fashion,Male,26-35,Medan,48,25,67506010,1,2,3,123,At Risk Customer
CUST00186,Home,Female,>50,Yogyakarta,4,37,111966522,4,4,4,444,Loyal Customer
CUST00187,Sport,Female,36-50,Denpasar,23,30,72970018,2,4,4,244,Potential Customer
CUST00188,Electronics,Female,36-50,Denpasar,36,20,50171635,2,1,1,211,New Customer
CUST00189,Electronics,Female,36-50,Medan,7,21,53562508,4,1,2,412,New Customer
CUST00190,Home,Male,26-35,Yogyakarta,38,22,58488042,2,2,2,222,Potential Customer
CUST00191,Electronics,Male,18-25,Jakarta,78,22,52816335,1,2,1,121,At Risk Customer
CUST00192,Sport,Female,>50,Jakarta,22,24,57487422,2,2,2,222,Potential Customer
CUST00193,Sport,Female,26-35,Medan,83,15,37877288,1,1,1,111,At Risk Customer
CUST00194,Beauty,Female,26-35,Yogyakarta,12,20,55020004,3,1,2,312,New Customer
CUST00195,Home,Male,18-25,Yogyakarta,11,25,48304865,3,2,1,321,Potential Customer
CUST00196,Beauty,Male,26-35,Surabaya,104,25,65090827,1,2,3,123,At Risk Customer
CUST00197,Fashion,Female,26-35,Denpasar,81,23,55527240,1,2,2,122,At Risk Customer
CUST00198,Fashion,Female,36-50,Bandung,42,29,68938476,1,4,3,143,At Risk Customer
CUST00199,Electronics,Female,26-35,Medan,91,25,69781470,1,2,3,123,At Risk Customer
CUST00200,Electronics,Female,26-35,Bandung,6,24,65129749,4,2,3,423,Potential Customer
CUST00201,Home,Female,>50,Bandung,19,24,59502515,3,2,2,322,Potential Customer
CUST00202,Home,Male,18-25,Medan,0,29,68397872,4,4,3,443,Loyal Customer
CUST00203,Beauty,Male,26-35,Yogyakarta,11,22,66324717,3,2,3,323,Potential Customer
CUST00204,Sport,Female,18-25,Medan,24,14,33980830,2,1,1,211,New Customer
CUST00205,Home,Female,36-50,Bandung,5,25,58617317,4,2,2,422,Potential Customer
CUST00206,Sport,Male,>50,Denpasar,53,24,54715235,1,2,2,122,At Risk Customer
CUST00207,Sport,Male,18-25,Denpasar,15,22,54005430,3,2,2,322,Potential Customer
CUST00208,Beauty,Female,36-50,Denpasar,13,26,56694056,3,3,2,332,Potential Customer
CUST00209,Sport,Male,18-25,Yogyakarta,33,24,55491586,2,2,2,222,Potential Customer
CUST00210,Beauty,Male,>50,Jakarta,29,30,84482235,2,4,4,244,Potential Customer
CUST00211,Beauty,Female,36-50,Medan,20,23,51536380,2,2,1,221,Potential Customer
CUST00212,Beauty,Female,36-50,Denpasar,51,25,64862220,1,2,3,123,At Risk Customer
CUST00213,Beauty,Female,18-25,Medan,6,17,51160001,4,1,1,411,New Customer
CUST00214,Beauty,Male,>50,Denpasar,69,19,37685827,1,1,1,111,At Risk Customer
CUST00215,Fashion,Female,36-50,Yogyakarta,52,23,55760958,1,2,2,122,At Risk Customer
CUST00216,Beauty,Male,26-35,Jakarta,29,17,43385475,2,1,1,211,New Customer
CUST00217,Home,Male,36-50,Jakarta,6,31,68858057,4,4,3,443,Loyal Customer
CUST00218,Beauty,Female,18-25,Denpasar,8,21,49298244,4,1,1,411,New Customer
CUST00219,Electronics,Female,36-50,Yogyakarta,19,35,93584395,3,4,4,344,Loyal Customer
CUST00220,Fashion,Female,18-25,Surabaya,16,30,69119602,3,4,3,343,Loyal Customer
CUST00221,Sport,Female,36-50,Medan,9,26,63707921,3,3,3,333,Loyal Customer
CUST00222,Sport,Female,26-35,Medan,25,21,63169006,2,1,3,213,New Customer
CUST00223,Fashion,Male,18-25,Bandung,7,30,69189143,4,4,3,443,Loyal Customer
CUST00224,Home,Male,18-25,Yogyakarta,5,32,59241295,4,4,2,442,Potential Customer
CUST00225,Electronics,Male,18-25,Bandung,3,30,78923238,4,4,4,444,Loyal Customer
CUST00226,Home,Male,26-35,Denpasar,16,27,69382699,3,3,3,333,Loyal Customer
CUST00227,Sport,Female,26-35,Bandung,47,27,71542576,1,3,3,133,At Risk Customer
CUST00228,Home,Male,26-35,Jakarta,22,24,51979423,2,2,1,221,Potential Customer
CUST00229,Fashion,Female,18-25,Medan,90,25,55003650,1,2,2,122,At Risk Customer
CUST00230,Electronics,Female,18-25,Bandung,78,19,59296813,1,1,2,112,At Risk Customer
CUST00231,Beauty,Female,36-50,Jakarta,67,25,51495306,1,2,1,121,At Risk Customer
CUST00232,Sport,Female,18-25,Yogyakarta,14,24,70703428,3,2,3,323,Potential Customer
CUST00233,Electronics,Female,>50,Bandung,8,25,61987080,4,2,2,422,Potential Customer
CUST00234,Fashion,Female,36-50,Denpasar,3,20,44534002,4,1,1,411,New Customer
CUST00235,Home,Male,26-35,Denpasar,1,16,41878132,4,1,1,411,New Customer
CUST00236,Sport,Female,26-35,Denpasar,25,31,82087893,2,4,4,244,Potential Customer
CUST00237,Fashion,Male,36-50,Medan,3,26,60021744,4,3,2,432,Potential Customer
CUST00238,Beauty,Male,18-25,Bandung,11,29,71855636,3,4,3,343,Loyal Customer
CUST00239,Electronics,Female,18-25,Yogyakarta,138,19,52555788,1,1,1,111,At Risk Customer
CUST00240,Sport,Male,18-25,Bandung,79,15,44008918,1,1,1,111,At Risk Customer
CUST00241,Electronics,Female,36-50,Medan,8,32,85487764,4,4,4,444,Loyal Customer
CUST00242,Electronics,Female,18-25,Jakarta,20,27,62482897,2,3,2,232,Potential Customer
CUST00243,Beauty,Female,26-35,Medan,26,27,60104387,2,3,2,232,Potential Customer
CUST00244,Fashion,Male,>50,Denpasar,22,27,66319084,2,3,3,233,Potential Customer
CUST00245,Home,Male,36-50,Jakarta,32,20,57305316,2,1,2,212,New Customer
CUST00246,Beauty,Female,26-35,Denpasar,50,25,70121441,1,2,3,123,At Risk Customer
CUST00247,Fashion,Male,18-25,Surabaya,12,30,80462679,3,4,4,344,Loyal Customer
CUST00248,Beauty,Female,36-50,Medan,19,25,73593744,3,2,4,324,Potential Customer
CUST00249,Fashion,Female,26-35,Medan,113,17,41751269,1,1,1,111,At Risk Customer
CUST00250,Electronics,Female,18-25,Yogyakarta,1,30,71608518,4,4,3,443,Loyal Customer
CUST00251,Sport,Male,18-25,Bandung,2,26,63196348,4,3,3,433,Loyal Customer
CUST00252,Electronics,Male,>50,Jakarta,34,29,86915329,2,4,4,244,Potential Customer
CUST00253,Beauty,Female,26-35,Jakarta,7,28,74516959,4,3,4,434,Loyal Customer
CUST00254,Beauty,Male,36-50,Yogyakarta,19,31,85304900,3,4,4,344,Loyal Customer
CUST00255,Electronics,Male,36-50,Yogyakarta,10,28,58552200,3,3,2,332,Potential Customer
CUST00256,Beauty,Female,26-35,Bandung,84,18,49283446,1,1,1,111,At Risk Customer
CUST00257,Fashion,Female,26-35,Denpasar,33,19,43018628,2,1,1,211,New Customer
CUST00258,Beauty,Female,26-35,Bandung,3,21,57438847,4,1,2,412,New Customer
CUST00259,Home,Female,26-35,Medan,1,27,63597046,4,3,3,433,Loyal Customer
CUST00260,Beauty,Male,26-35,Denpasar,2,28,64296543,4,3,3,433,Loyal Customer
CUST00261,Fashion,Female,36-50,Surabaya,66,31,98744430,1,4,4,144,At Risk Customer
CUST00262,Electronics,Female,26-35,Bandung,29,23,52477904,2,2,1,221,Potential Customer
CUST00263,Fashion,Male,36-50,Yogyakarta,30,23,59166277,2,2,2,222,Potential Customer
CUST00264,Beauty,Female,26-35,Denpasar,5,27,76409422,4,3,4,434,Loyal Customer
CUST00265,Sport,Female,26-35,Bandung,4,26,59845394,4,3,2,432,Potential Customer
CUST00266,Electronics,Female,26-35,Jakarta,36,29,60806690,2,4,2,242,Potential Customer
CUST00267,Electronics,Female,26-35,Surabaya,46,23,61404211,1,2,2,122,At Risk Customer
CUST00268,Beauty,Female,36-50,Medan,0,14,27711468,4,1,1,411,New Customer
CUST00269,Sport,Male,18-25,Jakarta,34,22,65152322,2,2,3,223,Potential Customer
CUST00270,Fashion,Male,26-35,Jakarta,33,25,65630838,2,2,3,223,Potential Customer
CUST00271,Beauty,Female,18-25,Surabaya,32,21,44205999,2,1,1,211,New Customer
CUST00272,Beauty,Female,26-35,Medan,7,23,53105605,4,2,1,421,Potential Customer
CUST00273,Beauty,Female,26-35,Yogyakarta,9,19,36708068,3,1,1,311,New Customer
CUST00274,Home,Female,26-35,Denpasar,15,33,79958343,3,4,4,344,Loyal Customer
CUST00275,Fashion,Female,>50,Medan,80,21,50433707,1,1,1,111,At Risk Customer
CUST00276,Fashion,Female,26-35,Bandung,11,21,58993766,3,1,2,312,New Customer
CUST00277,Home,Female,36-50,Jakarta,38,27,70939995,2,3,3,233,Potential Customer
CUST00278,Beauty,Female,26-35,Bandung,51,32,74831220,1,4,4,144,At Risk Customer
CUST00279,Sport,Female,26-35,Yogyakarta,0,17,45010203,4,1,1,411,New Customer
CUST00280,Sport,Female,18-25,Bandung,45,19,54171327,1,1,2,112,At Risk Customer
CUST00281,Beauty,Female,18-25,Medan,47,18,50634221,1,1,1,111,At Risk Customer
CUST00282,Sport,Male,26-35,Bandung,53,20,40784198,1,1,1,111,At Risk Customer
CUST00283,Sport,Male,26-35,Yogyakarta,2,18,40263679,4,1,1,411,New Customer
CUST00284,Electronics,Male,18-25,Yogyakarta,45,27,69328360,1,3,3,133,At Risk Customer
CUST00285,Beauty,Female,18-25,Yogyakarta,42,30,72216206,1,4,3,143,At Risk Customer
CUST00286,Electronics,Male,18-25,Medan,49,23,54600671,1,2,2,122,At Risk Customer
CUST00287,Home,Female,>50,Yogyakarta,6,26,76652803,4,3,4,434,Loyal Customer
CUST00288,Sport,Female,26-35,Jakarta,12,19,51098384,3,1,1,311,New Customer
CUST00289,Beauty,Male,26-35,Yogyakarta,27,19,46205607,2,1,1,211,New Customer
CUST00290,Electronics,Female,18-25,Bandung,13,17,42347306,3,1,1,311,New Customer
CUST00291,Sport,Male,26-35,Denpasar,20,25,52406051,2,2,1,221,Potential Customer
CUST00292,Beauty,Male,18-25,Bandung,7,27,58872967,4,3,2,432,Potential Customer
CUST00293,Home,Female,18-25,Denpasar,18,23,65491093,3,2,3,323,Potential Customer
CUST00294,Beauty,Male,26-35,Bandung,37,29,71348842,2,4,3,243,Potential Customer
CUST00295,Beauty,Male,18-25,Medan,68,30,85580285,1,4,4,144,At Risk Customer
CUST00296,Fashion,Female,18-25,Bandung,12,19,46036915,3,1,1,311,New Customer
CUST00297,Beauty,Female,18-25,Medan,52,31,84740712,1,4,4,144,At Risk Customer
CUST00298,Beauty,Male,18-25,Medan,79,19,37329465,1,1,1,111,At Risk Customer
